               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.020019,            0.010933,          0.00099079,             0.78215,             0.76145,              0.6777,             0.54334,            0.021163,            0.007695,           0.0029759,           0.0045275,           0.0045275,           0.0045275
                  64,            0.019954,            0.011025,          0.00095011,             0.78012,             0.76254,             0.69811,             0.56475,            0.021412,           0.0078071,           0.0028398,           0.0044114,           0.0044114,           0.0044114
                  65,            0.019572,            0.010619,          0.00094835,             0.78299,             0.76258,             0.69836,             0.56987,            0.021255,           0.0078867,           0.0028061,           0.0042969,           0.0042969,           0.0042969
                  66,             0.01967,            0.010703,          0.00091953,             0.76836,             0.76147,              0.7033,             0.56644,             0.02135,           0.0078983,           0.0028852,            0.004184,            0.004184,            0.004184
                  67,            0.019617,            0.010593,          0.00096085,              0.7722,             0.76294,             0.69575,             0.56648,            0.021136,           0.0079202,           0.0029384,            0.004073,            0.004073,            0.004073
                  68,            0.019509,            0.010567,           0.0009014,             0.77902,             0.75898,             0.69108,             0.56058,            0.021152,           0.0078721,           0.0029332,           0.0039638,           0.0039638,           0.0039638
                  69,            0.019083,            0.010455,          0.00087424,             0.77784,             0.76392,             0.68113,              0.5495,            0.021179,           0.0079409,           0.0028789,           0.0038567,           0.0038567,           0.0038567
                  70,            0.019134,            0.010529,          0.00091763,             0.77887,             0.76152,              0.6852,             0.55192,            0.021128,           0.0079395,           0.0028409,           0.0037517,           0.0037517,           0.0037517
                  71,            0.018986,            0.010423,          0.00084938,             0.77693,             0.76275,             0.69501,             0.56205,            0.021115,           0.0080229,           0.0028431,           0.0036489,           0.0036489,           0.0036489
                  72,            0.019021,            0.010471,          0.00089538,             0.77605,             0.76149,             0.69021,             0.55785,            0.020974,           0.0079379,           0.0028166,           0.0035484,           0.0035484,           0.0035484
                  73,            0.018772,            0.010281,          0.00088104,              0.7773,             0.76551,             0.68661,             0.55594,            0.021036,           0.0079456,           0.0029034,           0.0034503,           0.0034503,           0.0034503
                  74,            0.018719,            0.010172,          0.00086585,              0.7797,             0.76142,             0.69038,             0.55965,            0.020854,           0.0079558,           0.0028836,           0.0033548,           0.0033548,           0.0033548
                  75,            0.018603,            0.010235,          0.00091016,             0.76926,             0.77028,               0.691,             0.55711,            0.020796,           0.0080155,           0.0028281,           0.0032618,           0.0032618,           0.0032618
                  76,            0.018502,            0.010121,          0.00078223,             0.78029,             0.75872,             0.69755,             0.56941,            0.020875,           0.0080835,           0.0028463,           0.0031716,           0.0031716,           0.0031716
                  77,            0.018385,            0.010203,          0.00085276,             0.78473,             0.75898,             0.69508,             0.56444,            0.020953,           0.0081594,           0.0028412,           0.0030841,           0.0030841,           0.0030841
                  78,             0.01818,           0.0099547,          0.00088268,             0.78107,             0.76401,             0.69093,              0.5598,            0.020972,           0.0080919,           0.0028929,           0.0029996,           0.0029996,           0.0029996
                  79,            0.018106,            0.010108,          0.00085918,             0.78059,             0.76281,             0.69869,             0.56197,            0.020858,           0.0080511,           0.0029134,           0.0029179,           0.0029179,           0.0029179
                  80,            0.018029,           0.0099141,          0.00083547,             0.77485,             0.76401,             0.70124,             0.56612,            0.020871,           0.0080931,           0.0029281,           0.0028394,           0.0028394,           0.0028394
                  81,            0.017894,           0.0098461,          0.00081911,             0.77795,             0.76021,             0.69847,             0.55867,            0.020964,           0.0081116,           0.0029681,           0.0027639,           0.0027639,           0.0027639
                  82,            0.017876,           0.0098924,          0.00088127,             0.78499,             0.75414,             0.69413,               0.556,            0.020961,           0.0080715,           0.0030037,           0.0026917,           0.0026917,           0.0026917
                  83,            0.017574,           0.0096072,          0.00082936,             0.77939,             0.76154,               0.699,             0.55798,            0.020989,           0.0080752,           0.0030094,           0.0026227,           0.0026227,           0.0026227
                  84,            0.017583,           0.0098189,          0.00076181,             0.78279,              0.7622,             0.69984,             0.55875,            0.021103,           0.0081811,           0.0030077,            0.002557,            0.002557,            0.002557
                  85,            0.017499,           0.0096235,          0.00077402,              0.7783,              0.7617,             0.69598,             0.55648,            0.021115,           0.0082716,           0.0029562,           0.0024948,           0.0024948,           0.0024948
                  86,            0.017564,           0.0095103,          0.00079054,             0.77897,             0.76023,             0.69069,             0.55654,            0.021083,           0.0082601,           0.0029487,            0.002436,            0.002436,            0.002436
                  87,            0.017301,           0.0094009,           0.0006991,             0.77972,             0.76261,             0.69436,             0.56094,               0.021,           0.0082846,           0.0029318,           0.0023807,           0.0023807,           0.0023807
                  88,            0.017306,            0.009447,           0.0007574,             0.78534,             0.75485,             0.69553,             0.56335,            0.020998,           0.0083208,           0.0029354,            0.002329,            0.002329,            0.002329
                  89,            0.017025,           0.0093172,          0.00073764,             0.78089,             0.75646,              0.6985,             0.56393,            0.020979,           0.0083194,           0.0029342,           0.0022809,           0.0022809,           0.0022809
                  90,            0.016979,           0.0094577,          0.00069801,             0.77922,             0.76023,             0.69955,             0.56588,            0.021017,           0.0083738,           0.0029595,           0.0022365,           0.0022365,           0.0022365
                  91,             0.01717,           0.0094138,          0.00073778,             0.78072,             0.76148,             0.69641,             0.56059,            0.021033,           0.0083679,            0.002975,           0.0021958,           0.0021958,           0.0021958
                  92,            0.016959,           0.0093146,          0.00073141,             0.78398,             0.76023,             0.69569,              0.5556,            0.021035,           0.0083456,           0.0029512,           0.0021588,           0.0021588,           0.0021588
                  93,            0.016875,           0.0092601,          0.00074918,             0.78652,             0.75817,             0.69255,             0.55628,             0.02102,           0.0083582,           0.0029599,           0.0021257,           0.0021257,           0.0021257
                  94,            0.016904,           0.0092812,          0.00072345,             0.78491,             0.75762,             0.69209,             0.55387,            0.021007,           0.0083684,           0.0029606,           0.0020963,           0.0020963,           0.0020963
                  95,            0.016859,           0.0092245,          0.00068169,             0.78474,             0.75892,             0.68972,             0.55025,            0.021025,           0.0083849,            0.002951,           0.0020709,           0.0020709,           0.0020709
                  96,            0.016818,           0.0091485,          0.00069326,              0.7844,             0.75737,             0.68719,             0.54805,             0.02103,            0.008415,           0.0029634,           0.0020492,           0.0020492,           0.0020492
                  97,            0.016794,           0.0091387,          0.00068424,             0.77703,             0.76153,             0.68373,             0.54957,            0.020999,           0.0084071,           0.0029697,           0.0020315,           0.0020315,           0.0020315
                  98,            0.016572,            0.009093,          0.00068863,             0.77912,             0.76149,             0.68613,             0.54948,            0.021035,           0.0084381,           0.0029818,           0.0020178,           0.0020178,           0.0020178
                  99,            0.016618,           0.0091145,          0.00075081,             0.77976,             0.76144,             0.68776,              0.5507,            0.021054,           0.0084537,           0.0029999,           0.0020079,           0.0020079,           0.0020079
