               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.021728,            0.011852,          0.00090704,             0.78607,             0.75145,             0.68157,             0.53862,            0.021333,           0.0077758,           0.0029816,           0.0030841,           0.0030841,           0.0030841
                  78,            0.021652,            0.011696,          0.00089814,             0.78606,             0.75394,             0.68548,             0.54379,            0.021473,           0.0077666,           0.0029116,           0.0029996,           0.0029996,           0.0029996
                  79,            0.021448,            0.011625,          0.00087117,             0.78481,             0.75388,             0.69155,             0.54692,             0.02146,           0.0077902,           0.0029538,           0.0029179,           0.0029179,           0.0029179
                  80,            0.021483,            0.011585,          0.00085417,             0.78884,              0.7461,             0.68936,             0.54437,            0.021435,           0.0078467,           0.0029941,           0.0028394,           0.0028394,           0.0028394
                  81,            0.021377,            0.011681,          0.00078702,             0.78816,             0.75181,             0.68475,              0.5459,            0.021323,           0.0077904,           0.0030165,           0.0027639,           0.0027639,           0.0027639
                  82,            0.021108,            0.011329,          0.00078988,              0.7808,             0.75642,             0.68644,             0.54219,            0.021316,           0.0078129,           0.0030514,           0.0026917,           0.0026917,           0.0026917
                  83,            0.021173,            0.011582,          0.00085628,             0.76997,             0.75625,             0.68502,             0.54966,            0.021246,           0.0078192,            0.003099,           0.0026227,           0.0026227,           0.0026227
                  84,            0.021141,            0.011488,          0.00077541,             0.77251,             0.75913,             0.69015,               0.554,            0.021217,            0.007872,           0.0030316,            0.002557,            0.002557,            0.002557
                  85,            0.021099,            0.011489,          0.00079446,             0.77703,             0.74535,             0.68455,              0.5494,            0.021242,           0.0078759,           0.0029771,           0.0024948,           0.0024948,           0.0024948
                  86,             0.02098,            0.011477,          0.00074981,             0.77616,             0.76084,             0.68799,             0.54509,            0.021166,           0.0078542,           0.0029436,            0.002436,            0.002436,            0.002436
                  87,            0.020766,            0.011303,          0.00076365,             0.77681,             0.76149,             0.68746,             0.54851,             0.02114,           0.0078378,           0.0029606,           0.0023807,           0.0023807,           0.0023807
                  88,            0.021041,              0.0116,           0.0008433,              0.7784,             0.76514,              0.6898,             0.54984,            0.021177,           0.0078422,           0.0029821,            0.002329,            0.002329,            0.002329
                  89,            0.020752,            0.011396,          0.00080474,             0.78506,             0.75902,             0.69681,             0.55757,            0.021249,           0.0078489,           0.0028992,           0.0022809,           0.0022809,           0.0022809
                  90,            0.020723,            0.011185,          0.00078103,             0.78722,             0.75707,             0.69654,             0.55066,            0.021204,           0.0078464,           0.0028952,           0.0022365,           0.0022365,           0.0022365
                  91,            0.020647,            0.011235,          0.00075932,             0.78756,             0.76023,             0.69033,             0.54549,            0.021198,           0.0078419,           0.0029361,           0.0021958,           0.0021958,           0.0021958
                  92,            0.020646,            0.011218,          0.00081219,             0.78526,             0.75898,             0.69279,             0.55129,            0.021184,            0.007865,           0.0029549,           0.0021588,           0.0021588,           0.0021588
                  93,            0.020466,            0.011128,           0.0007741,             0.78623,             0.75771,             0.69041,             0.54998,            0.021174,           0.0078593,           0.0029744,           0.0021257,           0.0021257,           0.0021257
                  94,            0.020529,            0.011071,          0.00073979,             0.78786,             0.75686,              0.6888,             0.55137,            0.021223,           0.0078929,           0.0030087,           0.0020963,           0.0020963,           0.0020963
                  95,             0.02033,             0.01106,          0.00075632,             0.78747,             0.75734,             0.68824,             0.55254,            0.021197,           0.0079207,           0.0030025,           0.0020709,           0.0020709,           0.0020709
                  96,            0.020461,            0.010963,          0.00073293,             0.78503,             0.75775,             0.68775,             0.55159,            0.021174,           0.0079503,           0.0029904,           0.0020492,           0.0020492,           0.0020492
                  97,            0.020316,            0.011161,          0.00077853,             0.78477,             0.75821,             0.68867,             0.55336,            0.021174,           0.0079399,           0.0030045,           0.0020315,           0.0020315,           0.0020315
                  98,            0.020384,            0.011127,          0.00077246,             0.78501,             0.75859,             0.69261,             0.55762,            0.021144,           0.0079406,           0.0029987,           0.0020178,           0.0020178,           0.0020178
                  99,            0.020564,            0.011114,          0.00077917,             0.78539,             0.76152,              0.6938,             0.55777,            0.021122,           0.0079491,           0.0029743,           0.0020079,           0.0020079,           0.0020079
